Size,Time_NlogN,Time_N
1000,0.000000,0.000000
2000,0.000000,0.000000
3000,0.000000,0.000000
4000,0.000000,0.001000
5000,0.000000,0.000000
6000,0.001000,0.000000
7000,0.000000,0.000000
8000,0.000000,0.000000
9000,0.000000,0.000000
10000,0.000000,0.000000
20000,0.001000,0.000000
30000,0.001000,0.000000
40000,0.003000,0.000000
50000,0.001000,0.001000
60000,0.002000,0.001000
70000,0.001000,0.002000
80000,0.002000,0.001000
90000,0.002000,0.002000
100000,0.003000,0.001000
200000,0.005000,0.004000
300000,0.007000,0.005000
400000,0.010000,0.007000
500000,0.012000,0.008000
600000,0.015000,0.010000
700000,0.015000,0.012000
800000,0.019000,0.014000
900000,0.021000,0.016000
1000000,0.023000,0.018000
2000000,0.047000,0.037000
3000000,0.068000,0.057000
4000000,0.093000,0.071000
5000000,0.121000,0.093000
6000000,0.143000,0.112000
7000000,0.166000,0.136000
8000000,0.192000,0.151000
9000000,0.216000,0.172000
10000000,0.238000,0.195000
20000000,0.495000,0.404000
30000000,0.715000,0.538000
40000000,0.949000,0.838000
50000000,1.194000,0.936000
60000000,1.422000,1.122000
70000000,1.655000,1.307000
80000000,1.919000,1.500000
90000000,2.133000,1.686000
100000000,2.379000,1.845000
