Iterations,BST,BTree,DLL,Heap
10,0.000000,0.000000,0.000000,0.000000
1010,0.002000,0.000000,0.001000,0.000000
2010,0.007000,0.000000,0.006000,0.001000
3010,0.015000,0.001000,0.015000,0.000000
4010,0.028000,0.000000,0.026000,0.001000
5010,0.043000,0.001000,0.043000,0.000000
6010,0.062000,0.001000,0.065000,0.001000
7010,0.089000,0.001000,0.092000,0.001000
8010,0.121000,0.001000,0.120000,0.001000
9010,0.140000,0.000000,0.151000,0.001000
10010,0.191000,0.002000,0.196000,0.001000
11010,0.261000,0.002000,0.266000,0.002000
12010,0.282000,0.002000,0.285000,0.002000
13010,0.305000,0.002000,0.332000,0.001000
14010,0.362000,0.001000,0.379000,0.002000
15010,0.425000,0.002000,0.431000,0.002000
16010,0.518000,0.003000,0.506000,0.002000
17010,0.579000,0.002000,0.573000,0.001000
18010,0.599000,0.003000,0.619000,0.002000
19010,0.651000,0.004000,0.685000,0.003000
20010,0.712000,0.003000,0.760000,0.002000
21010,0.753000,0.004000,0.844000,0.002000
22010,0.816000,0.004000,0.927000,0.002000
23010,0.886000,0.004000,1.009000,0.003000
24010,0.975000,0.004000,1.106000,0.003000
25010,1.074000,0.004000,1.209000,0.003000
26010,1.212000,0.005000,1.331000,0.003000
27010,1.312000,0.005000,1.421000,0.004000
