Iterations,Build_NlogN,Build_N
10,0.000000,0.000000
10010,0.001000,0.000000
20010,0.001000,0.000000
30010,0.001000,0.001000
40010,0.001000,0.001000
50010,0.001000,0.001000
60010,0.001000,0.002000
70010,0.003000,0.001000
80010,0.003000,0.002000
90010,0.002000,0.001000
100010,0.002000,0.002000
110010,0.004000,0.002000
120010,0.003000,0.002000
130010,0.003000,0.003000
140010,0.003000,0.002000
150010,0.004000,0.003000
160010,0.004000,0.002000
170010,0.004000,0.003000
180010,0.005000,0.006000
190010,0.006000,0.004000
200010,0.004000,0.006000
210010,0.005000,0.004000
220010,0.005000,0.003000
230010,0.005000,0.004000
240010,0.005000,0.004000
250010,0.006000,0.004000
260010,0.005000,0.005000
270010,0.006000,0.005000
280010,0.006000,0.005000
290010,0.007000,0.005000
300010,0.007000,0.005000
310010,0.007000,0.006000
320010,0.007000,0.006000
330010,0.008000,0.005000
340010,0.007000,0.006000
350010,0.008000,0.006000
360010,0.008000,0.006000
370010,0.009000,0.006000
380010,0.009000,0.006000
390010,0.009000,0.006000
400010,0.009000,0.007000
410010,0.010000,0.006000
420010,0.010000,0.007000
430010,0.010000,0.007000
440010,0.010000,0.007000
450010,0.011000,0.008000
460010,0.011000,0.008000
470010,0.010000,0.008000
480010,0.011000,0.008000
490010,0.011000,0.009000
500010,0.012000,0.008000
510010,0.011000,0.009000
520010,0.012000,0.009000
530010,0.012000,0.009000
540010,0.012000,0.009000
550010,0.012000,0.009000
560010,0.012000,0.010000
570010,0.013000,0.010000
580010,0.013000,0.009000
590010,0.014000,0.010000
600010,0.016000,0.010000
610010,0.015000,0.011000
620010,0.014000,0.011000
630010,0.015000,0.012000
640010,0.015000,0.011000
650010,0.015000,0.012000
660010,0.014000,0.012000
670010,0.016000,0.011000
680010,0.016000,0.011000
690010,0.016000,0.013000
700010,0.016000,0.012000
710010,0.016000,0.013000
720010,0.016000,0.013000
730010,0.017000,0.012000
740010,0.017000,0.013000
750010,0.018000,0.013000
760010,0.018000,0.013000
770010,0.018000,0.014000
780010,0.019000,0.014000
790010,0.019000,0.015000
800010,0.019000,0.015000
810010,0.019000,0.014000
820010,0.018000,0.015000
830010,0.019000,0.014000
840010,0.021000,0.017000
850010,0.023000,0.016000
860010,0.020000,0.016000
870010,0.021000,0.015000
880010,0.021000,0.015000
890010,0.021000,0.015000
900010,0.021000,0.015000
910010,0.021000,0.016000
920010,0.021000,0.015000
930010,0.023000,0.017000
940010,0.022000,0.017000
950010,0.023000,0.016000
960010,0.022000,0.017000
970010,0.022000,0.020000
980010,0.022000,0.019000
990010,0.025000,0.017000
1000010,0.024000,0.018000
1010010,0.024000,0.017000
1020010,0.025000,0.022000
1030010,0.026000,0.019000
1040010,0.024000,0.019000
1050010,0.025000,0.018000
1060010,0.028000,0.018000
1070010,0.025000,0.021000
1080010,0.025000,0.022000
1090010,0.026000,0.027000
1100010,0.026000,0.021000
1110010,0.026000,0.022000
1120010,0.026000,0.020000
1130010,0.026000,0.021000
1140010,0.026000,0.020000
1150010,0.026000,0.022000
1160010,0.027000,0.021000
1170010,0.027000,0.022000
1180010,0.027000,0.021000
1190010,0.028000,0.022000
1200010,0.028000,0.022000
1210010,0.029000,0.022000
1220010,0.028000,0.021000
1230010,0.028000,0.021000
1240010,0.029000,0.021000
1250010,0.032000,0.023000
1260010,0.029000,0.024000
1270010,0.030000,0.022000
1280010,0.030000,0.023000
1290010,0.030000,0.023000
1300010,0.030000,0.023000
1310010,0.030000,0.023000
1320010,0.031000,0.025000
1330010,0.031000,0.023000
1340010,0.031000,0.026000
1350010,0.032000,0.024000
1360010,0.031000,0.031000
1370010,0.044000,0.069000
1380010,0.032000,0.027000
1390010,0.032000,0.028000
1400010,0.032000,0.026000
1410010,0.033000,0.025000
1420010,0.034000,0.036000
1430010,0.034000,0.027000
1440010,0.034000,0.027000
1450010,0.034000,0.026000
1460010,0.034000,0.028000
1470010,0.033000,0.026000
1480010,0.035000,0.029000
1490010,0.035000,0.026000
1500010,0.035000,0.029000
1510010,0.035000,0.027000
1520010,0.037000,0.029000
1530010,0.036000,0.028000
1540010,0.037000,0.029000
1550010,0.036000,0.029000
1560010,0.037000,0.030000
1570010,0.036000,0.030000
1580010,0.037000,0.031000
1590010,0.037000,0.030000
1600010,0.037000,0.028000
1610010,0.037000,0.029000
1620010,0.040000,0.030000
1630010,0.038000,0.030000
1640010,0.039000,0.031000
1650010,0.039000,0.032000
1660010,0.039000,0.028000
1670010,0.039000,0.031000
1680010,0.041000,0.029000
1690010,0.041000,0.032000
1700010,0.040000,0.030000
1710010,0.041000,0.030000
1720010,0.040000,0.031000
1730010,0.040000,0.031000
1740010,0.041000,0.030000
1750010,0.043000,0.031000
1760010,0.042000,0.032000
1770010,0.041000,0.031000
1780010,0.040000,0.032000
1790010,0.042000,0.034000
1800010,0.043000,0.034000
1810010,0.042000,0.034000
1820010,0.044000,0.032000
1830010,0.063000,0.034000
1840010,0.045000,0.031000
1850010,0.044000,0.033000
1860010,0.051000,0.036000
1870010,0.044000,0.033000
1880010,0.044000,0.034000
1890010,0.047000,0.033000
1900010,0.044000,0.035000
1910010,0.044000,0.036000
1920010,0.046000,0.036000
1930010,0.045000,0.037000
1940010,0.046000,0.037000
1950010,0.045000,0.035000
1960010,0.046000,0.034000
1970010,0.050000,0.040000
1980010,0.046000,0.057000
1990010,0.047000,0.036000
2000010,0.047000,0.036000
2010010,0.047000,0.038000
2020010,0.048000,0.036000
2030010,0.049000,0.035000
2040010,0.050000,0.035000
2050010,0.047000,0.036000
2060010,0.049000,0.035000
2070010,0.051000,0.038000
2080010,0.048000,0.037000
2090010,0.049000,0.036000
2100010,0.049000,0.037000
2110010,0.049000,0.037000
2120010,0.071000,0.038000
2130010,0.050000,0.039000
2140010,0.050000,0.038000
2150010,0.052000,0.037000
2160010,0.050000,0.039000
2170010,0.053000,0.038000
2180010,0.051000,0.037000
2190010,0.051000,0.038000
2200010,0.050000,0.040000
2210010,0.052000,0.040000
2220010,0.053000,0.039000
2230010,0.051000,0.041000
2240010,0.052000,0.041000
2250010,0.051000,0.040000
2260010,0.052000,0.041000
2270010,0.053000,0.040000
2280010,0.052000,0.040000
2290010,0.052000,0.041000
2300010,0.052000,0.040000
2310010,0.056000,0.042000
2320010,0.052000,0.041000
2330010,0.068000,0.041000
2340010,0.054000,0.041000
2350010,0.053000,0.040000
2360010,0.054000,0.043000
2370010,0.054000,0.041000
2380010,0.057000,0.048000
2390010,0.055000,0.043000
2400010,0.055000,0.042000
2410010,0.056000,0.042000
2420010,0.055000,0.043000
2430010,0.056000,0.043000
2440010,0.056000,0.043000
2450010,0.056000,0.043000
2460010,0.055000,0.046000
2470010,0.057000,0.045000
2480010,0.057000,0.045000
2490010,0.057000,0.044000
2500010,0.056000,0.045000
2510010,0.056000,0.050000
2520010,0.060000,0.045000
2530010,0.058000,0.050000
2540010,0.061000,0.048000
2550010,0.057000,0.048000
2560010,0.059000,0.048000
2570010,0.058000,0.048000
2580010,0.061000,0.048000
2590010,0.060000,0.046000
2600010,0.059000,0.047000
2610010,0.070000,0.055000
2620010,0.059000,0.048000
2630010,0.060000,0.050000
2640010,0.063000,0.049000
2650010,0.062000,0.049000
2660010,0.061000,0.050000
2670010,0.060000,0.053000
2680010,0.062000,0.051000
2690010,0.066000,0.050000
2700010,0.062000,0.050000
2710010,0.062000,0.051000
2720010,0.062000,0.051000
2730010,0.062000,0.050000
2740010,0.063000,0.054000
2750010,0.065000,0.052000
2760010,0.063000,0.052000
2770010,0.064000,0.052000
2780010,0.063000,0.051000
2790010,0.063000,0.054000
2800010,0.064000,0.054000
2810010,0.065000,0.052000
2820010,0.064000,0.052000
2830010,0.064000,0.055000
2840010,0.066000,0.054000
2850010,0.066000,0.055000
2860010,0.066000,0.053000
2870010,0.067000,0.055000
2880010,0.066000,0.053000
2890010,0.066000,0.055000
2900010,0.066000,0.054000
2910010,0.066000,0.054000
2920010,0.065000,0.053000
2930010,0.071000,0.053000
2940010,0.068000,0.059000
2950010,0.069000,0.059000
2960010,0.069000,0.058000
2970010,0.068000,0.057000
2980010,0.067000,0.052000
2990010,0.070000,0.056000
3000010,0.069000,0.057000
3010010,0.068000,0.057000
3020010,0.067000,0.058000
3030010,0.067000,0.057000
3040010,0.069000,0.057000
3050010,0.068000,0.055000
3060010,0.074000,0.086000
3070010,0.070000,0.059000
3080010,0.071000,0.059000
3090010,0.069000,0.058000
3100010,0.070000,0.057000
3110010,0.072000,0.059000
3120010,0.071000,0.058000
3130010,0.070000,0.058000
3140010,0.073000,0.059000
3150010,0.071000,0.059000
3160010,0.072000,0.059000
3170010,0.073000,0.065000
3180010,0.078000,0.063000
3190010,0.076000,0.062000
3200010,0.076000,0.060000
3210010,0.077000,0.061000
3220010,0.078000,0.061000
3230010,0.075000,0.059000
3240010,0.075000,0.061000
3250010,0.074000,0.066000
3260010,0.075000,0.062000
3270010,0.077000,0.063000
3280010,0.076000,0.059000
3290010,0.076000,0.059000
3300010,0.074000,0.060000
3310010,0.074000,0.062000
3320010,0.075000,0.062000
3330010,0.077000,0.062000
3340010,0.076000,0.063000
3350010,0.075000,0.066000
3360010,0.076000,0.063000
3370010,0.077000,0.062000
3380010,0.077000,0.063000
3390010,0.079000,0.063000
3400010,0.078000,0.062000
3410010,0.077000,0.063000
3420010,0.078000,0.064000
3430010,0.077000,0.064000
3440010,0.077000,0.065000
3450010,0.078000,0.066000
3460010,0.079000,0.064000
3470010,0.086000,0.078000
3480010,0.092000,0.068000
3490010,0.099000,0.083000
3500010,0.106000,0.064000
3510010,0.079000,0.066000
3520010,0.092000,0.065000
3530010,0.083000,0.071000
3540010,0.087000,0.066000
3550010,0.085000,0.070000
3560010,0.081000,0.065000
3570010,0.118000,0.066000
3580010,0.082000,0.067000
3590010,0.081000,0.069000
3600010,0.084000,0.066000
3610010,0.082000,0.069000
3620010,0.088000,0.072000
3630010,0.085000,0.067000
3640010,0.085000,0.070000
3650010,0.085000,0.067000
3660010,0.086000,0.067000
3670010,0.083000,0.070000
3680010,0.086000,0.072000
3690010,0.085000,0.069000
3700010,0.083000,0.072000
3710010,0.087000,0.069000
3720010,0.087000,0.069000
3730010,0.088000,0.070000
3740010,0.087000,0.072000
3750010,0.085000,0.070000
3760010,0.085000,0.069000
3770010,0.088000,0.069000
3780010,0.087000,0.072000
3790010,0.086000,0.071000
3800010,0.086000,0.073000
3810010,0.085000,0.072000
3820010,0.087000,0.071000
3830010,0.090000,0.071000
