Heap Type,Operation,Size,TimeTaken
MaxHeap,Build NlogN,1000,0.000000
MaxHeap,Build N,1000,0.000000
MinHeap,Build NlogN,1000,0.000000
MinHeap,Build N,1000,0.000000
MaxHeap,Build NlogN,10000,0.001000
MaxHeap,Build N,10000,0.000000
MinHeap,Build NlogN,10000,0.000000
MinHeap,Build N,10000,0.000000
MaxHeap,Build NlogN,100000,0.002000
MaxHeap,Build N,100000,0.002000
MinHeap,Build NlogN,100000,0.002000
MinHeap,Build N,100000,0.002000
MaxHeap,Build NlogN,1000000,0.024000
MaxHeap,Build N,1000000,0.018000
MinHeap,Build NlogN,1000000,0.023000
MinHeap,Build N,1000000,0.018000
MaxHeap,Build NlogN,10000000,0.228000
MaxHeap,Build N,10000000,0.187000
MinHeap,Build NlogN,10000000,0.223000
MinHeap,Build N,10000000,0.192000
